last_season,current_club_id,country_of_citizenship,sub_position,foot,height_in_cm,agent_name,current_club_domestic_competition_id,highest_market_value_in_eur,valor_real,edad,contrato_restante,convocado,tempo_2018_titu,tempo_2019_titu,tempo_2020_titu,tempo_2021_titu,tempo_2022_titu,tempo_2023_titu,tempo_2024_titu,capitanias,temporada_2018_g,temporada_2019_g,temporada_2020_g,temporada_2021_g,temporada_2022_g,temporada_2023_g,temporada_2024_g,goles,asistencias,cambios,amarillas,club_id,stadium_seats,temporada_2018_a,temporada_2019_a,temporada_2020_a,temporada_2021_a,temporada_2022_a,temporada_2023_a,temporada_2024_a,jerarquia_rondas_CL,jerarquia_rondas_EL,jugador_ofensivo,efectividad
2018,5358,Spain,Central Midfield,right,174.0,Bahía Internacional,ES1,1500000.0,62095.48260908303,31.0,,17.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,1.0,1.0,5358,9128,,,,,,,,,,0,
2021,714,Spain,Goalkeeper,left,189.0,Sport Agency 4U,ES1,2500000.0,240336.28623858627,31.0,,109.0,33.0,5.0,4.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,714,40500,,,,,,,,,,0,
2020,331,Spain,Goalkeeper,right,187.0,,ES1,2000000.0,240785.56642110983,35.0,,62.0,19.0,13.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,331,23576,,,,,,,,,,0,
2023,3,Germany,Goalkeeper,right,191.0,Bigpoint,L1,400000.0,324287.02624215215,37.0,2.0,114.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,3,50000,,,,,,,,,,0,
2021,162,Spain,Central Midfield,right,179.0,Darren Dein,FR1,55000000.0,1201681.4311929313,33.0,3.0,117.0,22.0,20.0,10.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,22.0,1.0,162,18525,3.0,2.0,3.0,1.0,0.0,0.0,0.0,,,0,0.1111111111111111
2018,40,Czech Republic,Central Midfield,right,182.0,,FR1,7500000.0,620954.8260908303,36.0,,58.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,3.0,6.0,1.0,40,42115,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,
2019,1025,Switzerland,Central Midfield,right,180.0,,IT1,11000000.0,122127.93176130838,32.0,4.0,78.0,26.0,17.0,0.0,0.0,6.0,0.0,0.0,29.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,11.0,1.0,1025,36462,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0,0.10256410256410256
2020,1003,Jamaica,Centre-Back,right,185.0,,GB1,3500000.0,481571.13284221967,35.0,,107.0,28.0,8.0,7.0,0.0,0.0,0.0,0.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,1003,32259,,,,,,,,,,0,
2019,533,Germany,Goalkeeper,right,189.0,,L1,200000.0,122127.93176130838,35.0,,35.0,,,,,,,,,,,,,,,,,,,,533,30150,,,,,,,,,,0,
2019,127,Germany,Centre-Back,right,189.0,Bigpoint,L1,2250000.0,244255.86352261677,33.0,4.0,44.0,5.0,8.0,8.0,2.0,1.0,1.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,,127,15000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.1590909090909091
2019,24,Germany,Goalkeeper,left,190.0,NUHN CONSULTING,L1,650000.0,305319.82940327097,33.0,,35.0,,,,,,,,,,,,,,,,,,,,24,58000,,,,,,,,,,0,
2020,1050,Argentina,Centre-Back,left,187.0,,ES1,12000000.0,1203927.832105549,28.0,3.0,135.0,14.0,25.0,12.0,12.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,1050,23500,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.044444444444444446
2019,38,Germany,Central Midfield,right,187.0,Unique Sports Group,L1,1250000.0,122127.93176130838,36.0,,46.0,4.0,17.0,2.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,1.0,38,54600,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0,0.13043478260869565
2018,631,England,Goalkeeper,right,191.0,,GB1,8000000.0,310477.41304541513,37.0,,2.0,,,,,,,,,,,,,,,,,,,,631,41631,,,,,,,,,,0,
2024,1421,France,Goalkeeper,left,188.0,,FR1,1750000.0,102184.97406958038,40.0,1.0,119.0,35.0,39.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1421,20519,,,,,,,,,,0,
2019,368,Argentina,Central Midfield,right,174.0,Dodici,ES1,20000000.0,2198302.771703551,30.0,4.0,119.0,49.0,36.0,17.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,24.0,28.0,1.0,368,43883,7.0,13.0,4.0,0.0,0.0,0.0,0.0,,,0,0.31092436974789917
